book,word,n
Philosopher's Stone,dursley,54
Deathly Hallows,charm,53
Deathly Hallows,mouth,53
Deathly Hallows,plan,53
Half-Blood Prince,appeared,53
Half-Blood Prince,glass,53
Half-Blood Prince,leave,53
Half-Blood Prince,quidditch,53
Half-Blood Prince,remember,53
Half-Blood Prince,robes,53
Half-Blood Prince,slughorn's,53
Half-Blood Prince,speak,53
Order of the Phoenix,apparently,53
Order of the Phoenix,arrived,53
Order of the Phoenix,hat,53
Order of the Phoenix,leaving,53
Order of the Phoenix,seamus,53
Order of the Phoenix,silence,53
Order of the Phoenix,smiling,53
Order of the Phoenix,tiny,53
Order of the Phoenix,twenty,53
Goblet of Fire,beauxbatons,53
Goblet of Fire,empty,53
Goblet of Fire,loudly,53
Goblet of Fire,nose,53
Prisoner of Azkaban,quidditch,53
Prisoner of Azkaban,rest,53
Chamber of Secrets,found,53
Chamber of Secrets,pulled,53
Philosopher's Stone,floor,53
Philosopher's Stone,wood,53
Philosopher's Stone,yer,53
Deathly Hallows,book,52
Deathly Hallows,chest,52
Deathly Hallows,empty,52
Deathly Hallows,green,52
Deathly Hallows,grindelwald,52
Deathly Hallows,hit,52
Deathly Hallows,home,52
Deathly Hallows,james,52
Deathly Hallows,started,52
Half-Blood Prince,bottle,52
Half-Blood Prince,coming,52
Half-Blood Prince,expression,52
Half-Blood Prince,love,52
Half-Blood Prince,passed,52
Half-Blood Prince,prophecy,52
Half-Blood Prince,wearing,52
Order of the Phoenix,angry,52
Order of the Phoenix,couple,52
Order of the Phoenix,dream,52
Order of the Phoenix,father,52
Order of the Phoenix,giving,52
Order of the Phoenix,glanced,52
Order of the Phoenix,noticed,52
Order of the Phoenix,quill,52
Order of the Phoenix,ready,52
Order of the Phoenix,run,52
Order of the Phoenix,stairs,52
Order of the Phoenix,stay,52
Order of the Phoenix,suppose,52
Order of the Phoenix,wearing,52
Goblet of Fire,hurried,52
Goblet of Fire,map,52
Goblet of Fire,shoulder,52
Prisoner of Azkaban,marge,52
Prisoner of Azkaban,mind,52
Prisoner of Azkaban,sat,52
Prisoner of Azkaban,started,52
