book,index,negative,positive,sentiment
Order of the Phoenix,341,65,35,-0.3
Order of the Phoenix,342,71,29,-0.42
Order of the Phoenix,343,73,27,-0.46
Order of the Phoenix,344,79,21,-0.58
Half-Blood Prince,345,24,3,-0.21
Order of the Phoenix,345,47,26,-0.21
Half-Blood Prince,346,72,28,-0.44
Half-Blood Prince,347,87,13,-0.74
Half-Blood Prince,348,68,32,-0.36
Half-Blood Prince,349,79,21,-0.58
Half-Blood Prince,350,71,29,-0.42
Half-Blood Prince,351,71,29,-0.42
Half-Blood Prince,352,67,33,-0.34
Half-Blood Prince,353,65,35,-0.3
Half-Blood Prince,354,72,28,-0.44
Half-Blood Prince,355,68,32,-0.36
Half-Blood Prince,356,63,37,-0.26
Half-Blood Prince,357,58,42,-0.16
Half-Blood Prince,358,59,41,-0.18
Half-Blood Prince,359,67,33,-0.34
Half-Blood Prince,360,61,39,-0.22
Half-Blood Prince,361,54,46,-0.08
Half-Blood Prince,362,51,49,-0.02
Half-Blood Prince,363,72,28,-0.44
Half-Blood Prince,364,62,38,-0.24
Half-Blood Prince,365,65,35,-0.3
Half-Blood Prince,366,77,23,-0.54
Half-Blood Prince,367,63,37,-0.26
Half-Blood Prince,368,55,45,-0.1
Half-Blood Prince,369,55,45,-0.1
Half-Blood Prince,370,50,50,0
Half-Blood Prince,371,48,52,0.04
Half-Blood Prince,372,75,25,-0.5
Half-Blood Prince,373,80,20,-0.6
Half-Blood Prince,374,73,27,-0.46
Half-Blood Prince,375,61,39,-0.22
Half-Blood Prince,376,64,36,-0.28
Half-Blood Prince,377,73,27,-0.46
Half-Blood Prince,378,60,40,-0.2
Half-Blood Prince,379,81,19,-0.62
Half-Blood Prince,380,56,44,-0.12
Half-Blood Prince,381,60,40,-0.2
Half-Blood Prince,382,69,31,-0.38
Half-Blood Prince,383,71,29,-0.42
Half-Blood Prince,384,67,33,-0.34
Half-Blood Prince,385,62,38,-0.24
Half-Blood Prince,386,61,39,-0.22
Half-Blood Prince,387,58,42,-0.16
Half-Blood Prince,388,64,36,-0.28
Half-Blood Prince,389,56,44,-0.12
Half-Blood Prince,390,49,51,0.02
Half-Blood Prince,391,55,45,-0.1
Half-Blood Prince,392,45,55,0.1
Half-Blood Prince,393,79,21,-0.58
Half-Blood Prince,394,57,43,-0.14
Half-Blood Prince,395,75,25,-0.5
Half-Blood Prince,396,73,27,-0.46
Half-Blood Prince,397,58,42,-0.16
Half-Blood Prince,398,80,20,-0.6
Half-Blood Prince,399,62,38,-0.24
Half-Blood Prince,400,70,30,-0.4
Half-Blood Prince,401,62,38,-0.24
Half-Blood Prince,402,48,52,0.04
Half-Blood Prince,403,59,41,-0.18
Half-Blood Prince,404,61,39,-0.22
Half-Blood Prince,405,64,36,-0.28
Half-Blood Prince,406,62,38,-0.24
Half-Blood Prince,407,55,45,-0.1
Half-Blood Prince,408,66,34,-0.32
Half-Blood Prince,409,61,39,-0.22
Half-Blood Prince,410,68,32,-0.36
Half-Blood Prince,411,44,56,0.12
Half-Blood Prince,412,60,40,-0.2
Half-Blood Prince,413,70,30,-0.4
Half-Blood Prince,414,66,34,-0.32
Half-Blood Prince,415,61,39,-0.22
Half-Blood Prince,416,76,24,-0.52
Half-Blood Prince,417,63,37,-0.26
Half-Blood Prince,418,67,33,-0.34
Half-Blood Prince,419,72,28,-0.44
Half-Blood Prince,420,81,19,-0.62
Half-Blood Prince,421,75,25,-0.5
Half-Blood Prince,422,74,26,-0.48
Half-Blood Prince,423,82,18,-0.64
Half-Blood Prince,424,92,8,-0.84
Half-Blood Prince,425,90,10,-0.8
Half-Blood Prince,426,84,16,-0.68
Half-Blood Prince,427,78,22,-0.56
Half-Blood Prince,428,73,27,-0.46
Half-Blood Prince,429,75,25,-0.5
Deathly Hallows,430,4,1,-0.03
Half-Blood Prince,430,65,30,-0.35
Deathly Hallows,431,64,36,-0.28
Deathly Hallows,432,70,30,-0.4
Deathly Hallows,433,57,43,-0.14
Deathly Hallows,434,52,48,-0.04
Deathly Hallows,435,67,33,-0.34
Deathly Hallows,436,62,38,-0.24
Deathly Hallows,437,56,44,-0.12
Deathly Hallows,438,75,25,-0.5
Deathly Hallows,439,89,11,-0.78
Deathly Hallows,440,78,22,-0.56
Deathly Hallows,441,75,25,-0.5
Deathly Hallows,442,74,26,-0.48
Deathly Hallows,443,85,15,-0.7
Deathly Hallows,444,69,31,-0.38
Deathly Hallows,445,72,28,-0.44
Deathly Hallows,446,48,52,0.04
Deathly Hallows,447,48,52,0.04
Deathly Hallows,448,64,36,-0.28
Deathly Hallows,449,55,45,-0.1
Deathly Hallows,450,44,56,0.12
Deathly Hallows,451,63,37,-0.26
Deathly Hallows,452,68,32,-0.36
Deathly Hallows,453,83,17,-0.66
Deathly Hallows,454,82,18,-0.64
Deathly Hallows,455,49,51,0.02
Deathly Hallows,456,67,33,-0.34
Deathly Hallows,457,70,30,-0.4
Deathly Hallows,458,72,28,-0.44
Deathly Hallows,459,61,39,-0.22
Deathly Hallows,460,67,33,-0.34
Deathly Hallows,461,59,41,-0.18
Deathly Hallows,462,64,36,-0.28
Deathly Hallows,463,53,47,-0.06
Deathly Hallows,464,67,33,-0.34
Deathly Hallows,465,74,26,-0.48
Deathly Hallows,466,75,25,-0.5
Deathly Hallows,467,72,28,-0.44
Deathly Hallows,468,79,21,-0.58
Deathly Hallows,469,72,28,-0.44
Deathly Hallows,470,64,36,-0.28
Deathly Hallows,471,81,19,-0.62
Deathly Hallows,472,71,29,-0.42
Deathly Hallows,473,71,29,-0.42
Deathly Hallows,474,69,31,-0.38
Deathly Hallows,475,79,21,-0.58
Deathly Hallows,476,82,18,-0.64
Deathly Hallows,477,76,24,-0.52
Deathly Hallows,478,68,32,-0.36
Deathly Hallows,479,72,28,-0.44
Deathly Hallows,480,64,36,-0.28
Deathly Hallows,481,74,26,-0.48
Deathly Hallows,482,63,37,-0.26
Deathly Hallows,483,70,30,-0.4
Deathly Hallows,484,62,38,-0.24
Deathly Hallows,485,73,27,-0.46
Deathly Hallows,486,71,29,-0.42
Deathly Hallows,487,76,24,-0.52
Deathly Hallows,488,67,33,-0.34
Deathly Hallows,489,67,33,-0.34
Deathly Hallows,490,62,38,-0.24
Deathly Hallows,491,75,25,-0.5
Deathly Hallows,492,75,25,-0.5
Deathly Hallows,493,84,16,-0.68
Deathly Hallows,494,86,14,-0.72
Deathly Hallows,495,63,37,-0.26
Deathly Hallows,496,68,32,-0.36
Deathly Hallows,497,70,30,-0.4
Deathly Hallows,498,71,29,-0.42
Deathly Hallows,499,65,35,-0.3
Deathly Hallows,500,57,43,-0.14
Deathly Hallows,501,74,26,-0.48
Deathly Hallows,502,72,28,-0.44
Deathly Hallows,503,66,34,-0.32
Deathly Hallows,504,79,21,-0.58
Deathly Hallows,505,77,23,-0.54
Deathly Hallows,506,69,31,-0.38
Deathly Hallows,507,62,38,-0.24
Deathly Hallows,508,60,40,-0.2
Deathly Hallows,509,60,40,-0.2
Deathly Hallows,510,78,22,-0.56
Deathly Hallows,511,71,29,-0.42
Deathly Hallows,512,64,36,-0.28
Deathly Hallows,513,73,27,-0.46
Deathly Hallows,514,74,26,-0.48
Deathly Hallows,515,85,15,-0.7
Deathly Hallows,516,75,25,-0.5
Deathly Hallows,517,80,20,-0.6
Deathly Hallows,518,67,33,-0.34
Deathly Hallows,519,76,24,-0.52
Deathly Hallows,520,75,25,-0.5
Deathly Hallows,521,74,26,-0.48
Deathly Hallows,522,75,25,-0.5
Deathly Hallows,523,71,29,-0.42
Deathly Hallows,524,66,34,-0.32
Deathly Hallows,525,67,33,-0.34
Deathly Hallows,526,61,39,-0.22
Deathly Hallows,527,63,37,-0.26
Deathly Hallows,528,69,31,-0.38
Deathly Hallows,529,73,27,-0.46
Deathly Hallows,530,71,29,-0.42
Deathly Hallows,531,71,29,-0.42
Deathly Hallows,532,60,40,-0.2
Deathly Hallows,533,60,40,-0.2
Deathly Hallows,534,3,1,-0.02
